TAXON_NAME_ID,GENUS,SPECIES,AUTHOR_TEXT
141443,Prothyracodon,,Wood
454350,Protiatis,,
138820,Proticia,venezuelensis,Patterson
138878,Protictis,,
145191,Protitanichthys,fossatus,Eastman
141792,Protoadapis,brachyrhyncus,"Stehlin, 1912"
137374,Protocaptorhinus,pricei,
137815,Protoceras,,
137764,Protoceratops,,
140682,Protochelydia,,
136997,Protochelydra,,
138920,Protochelys,stricklandi,(Phillips)
137222,Protodichobune,oweni,
139968,Protodidelphis,vanzolini,"Paula Conto, 1952"
146928,Protodus,jixi,Woodward
143251,Protogonodon,pentaeus,
145049,Protogonodon,protogonioides,
147265,Protohipparion,,
136776,Protolabis,angustidens,Cope
144662,Protolabis,,
138748,Protomeryx,,
140301,Protopirata,heinrichi,(N. & W.)
599595,Protoreodon,pumlius,"Marsh, 1875"
138901,Protorosaurus,,
145347,Protorothryis,archeri,
138806,Protosciurus,jeffersoni,
139392,Protoselene,notissimus,
144646,Protoselene,opisthacus,
144202,Protoselene,opisthaeus,
137824,Protospermophilus,,
142306,Protosphyraena,gladius,
142307,Protosphyraena,perniciosus,
142308,Protosphyraena,,
135731,Protosuchus,richardsoni,(Brown)
139367,Protosuchus,,
138631,Protothyris,morani,(Romer)
139941,Prototomus,palaenictides,
139464,Prototomus,secundaria,
139210,Protungalatum,donnae,
145034,Protungalatum,,
139146,Protungulatum,donnae,
139449,Protungulatum,,
136675,Provcivenna,rapax,
137020,Proxestops,jepseni,
143586,Psammosteus,arenatus,Agassiz
140679,Psammosteus,taylori,
139596,Psammosteus,,
145194,Psecosteus,decipiens,Ag.
141209,Psephodus,magnus,(M'Coy)
141529,Psephodus,,
139067,Psephophorus,lemminckii,
141439,Pseudaelorus,,
136225,Pseudanosteira,pulchra,Clark
135892,Pseudaxis,grayi,
135905,Pseudaxis,,
136060,Pseudeumeces,,
139781,Pseudhipparion,gratus,
139783,Pseudhipparion,retrusum,
147257,Pseudhipparion,,
138673,Pseudoacris,goini,Auffenberg
140675,Pseudobeaconia,bracaccinii,
140676,Pseudobeaconia,elegans,
140185,Pseudoberyx,bottae,
141579,Pseudoberyx,syricicus,
141750,Pseudobradypus,unguifer,(Dawson)
140651,Pseudobradypus,,
143661,Pseudoceras,potteri,Frick
138803,Pseudocylindrodon,tobeyi,
143698,Pseudocynodictis,gregarius,(Cope)
137094,Pseudocynodictis,,
141359,Pseudoegertonia,bebianoi,
138590,Pseudoepicrates,barbouri,
138588,Pseudoepicrates,stanolseni,
139963,Pseudolycopsis,cabrerai,"Marshall, 1976"
137722,Pseudomys,,"Gray, 1832"
147409,Pseudosyngnathus,,
145645,Pseudotetonius,ambiguus,"Bown, 1974"
139962,Pseudothylacynus,rectus,"Ameghino, 1902"
136791,Pseudotragus,capricornis,Schlosser
139183,Pseudotypotherium,,
136010,Psuedanosteira,pulchra,Clark
145669,Pteraspis,dunensis,Rom.
140272,Pteraspis,rhenana,
140270,Pteraspis,rostrata,(Ag.)
141056,Pterichthyodes,milleri,"Miller ex Agassiz, 1841"
146781,Pterichthyodes,rhenanus,
144071,Pterichthyodes,,"Miller ex Agassiz, 1841"
139273,Pterichthys,milleri,
140274,Pterichthys,oblongus,Ag.
140275,Pterichthys,productus,Ag.
140276,Pterichthys,rhenanus,
